"Gene";"counts";"vlist"
"HINT1";1;"GoTerms"
"HIPK4";1;"GoTerms"
"HIRA";1;"GoTerms"
"HIST1H3G";1;"Reaktom"
"Histone-modifying Enzymes";1;"CellSignal"
"HJURP";1;"GoTerms"
"HMG20B";1;"Reaktom"
"HMGB4";1;"OMIM"
"HMGN1";1;"GoTerms"
"HMGN2";1;"GoTerms"
"HNRNPD";1;"GoTerms"
"HOPX";1;"GoTerms"
"HOXA10";1;"GoTerms"
"HOXD11";1;"OMIM"
"HOXD12";1;"OMIM"
"HP1BP3";1;"OMIM"
"Hpa2";1;"CellSignal"
"HPF1";1;"GoTerms"
"HR";1;"GoTerms"
"HSP90AA1";1;"GoTerms"
"HSP90AB1";1;"GoTerms"
"HSPA1A";1;"GoTerms"
"HSPA1B";1;"GoTerms"
"hTFIIIC90";1;"CellSignal"
"HUWE1";1;"GoTerms"
"ICE1";1;"GoTerms"
"ICE2";1;"GoTerms"
"IGKV1OR2-108";1;"OMIM"
"IKBKAP";1;"Reaktom"
"IKK-α";1;"CellSignal"
"IKZF3";1;"GoTerms"
"ING1";1;"GoTerms"
"ING2";1;"GoTerms"
"ING3";2;"GoTerms,Reaktom"
"ING4";2;"GoTerms,Reaktom"
"ING5";3;"GoTerms,OMIM,Reaktom"
"INO80";1;"GoTerms"
"INO80C";1;"GoTerms"
"INSM1";1;"GoTerms"
"IPO7";1;"GoTerms"
"IPO9";2;"GoTerms,OMIM"
"JADE1";2;"GoTerms,Reaktom"
"JADE2";2;"GoTerms,Reaktom"
"JADE3";2;"GoTerms,Reaktom"
"JAK2";3;"GoTerms,Reaktom,CellSignal"
"JARID2";2;"GoTerms,Reaktom"
"JDP2";1;"GoTerms"
"JMJD1C";1;"GoTerms"
"JMJD6";2;"GoTerms,Reaktom"
"JMJD7";1;"GoTerms"
"JUN";1;"OMIM"
"KANSL1";2;"GoTerms,Reaktom"
"KANSL1L";2;"GoTerms,OMIM"
"KANSL2";2;"GoTerms,Reaktom"
"KANSL3";3;"GoTerms,OMIM,Reaktom"
"KAT14";2;"GoTerms,Reaktom"
"KAT2A";2;"GoTerms,Reaktom"
"KAT2B";3;"GoTerms,OMIM,Reaktom"
"KAT5";2;"GoTerms,Reaktom"
"KAT6A";2;"GoTerms,Reaktom"
"KAT6B";2;"GoTerms,Reaktom"
"KAT7";2;"GoTerms,Reaktom"
"KAT8";2;"GoTerms,Reaktom"
"KCTD21";1;"GoTerms"
"KDM1A";2;"GoTerms,Reaktom"
"KDM1B";2;"GoTerms,Reaktom"
"KDM2A";2;"GoTerms,Reaktom"
"KDM2B";2;"GoTerms,Reaktom"
"KDM3A";3;"GoTerms,OMIM,Reaktom"
"KDM3B";2;"GoTerms,Reaktom"
"KDM4A";3;"GoTerms,OMIM,Reaktom"
"KDM4B";2;"GoTerms,Reaktom"
"KDM4C";2;"GoTerms,Reaktom"
"KDM4D";2;"GoTerms,Reaktom"
"KDM4E";1;"GoTerms"
"KDM4F";1;"GoTerms"
"KDM5A";2;"GoTerms,Reaktom"
"KDM5B";2;"GoTerms,Reaktom"
"KDM5C";2;"GoTerms,Reaktom"
"KDM5D";2;"GoTerms,Reaktom"
"KDM6A";2;"GoTerms,Reaktom"
"KDM6B";2;"GoTerms,Reaktom"
"KDM7A";2;"GoTerms,Reaktom"
"KDM8";1;"GoTerms"
"KLF4";1;"GoTerms"
"KMT2A";2;"GoTerms,Reaktom"
"KMT2B";2;"GoTerms,Reaktom"
"KMT2C";2;"GoTerms,Reaktom"
"KMT2D";2;"GoTerms,Reaktom"
"KMT2E";1;"GoTerms"
"KMT5A";2;"GoTerms,Reaktom"
"KMT5B";2;"GoTerms,Reaktom"
"KMT5C";2;"GoTerms,Reaktom"
"KPNA2";1;"GoTerms"
"Kryptonite (A. thaliana)";1;"CellSignal"
"L3MBTL1";1;"GoTerms"
"L3MBTL2";1;"GoTerms"
"L3MBTL3";1;"GoTerms"
"L3MBTL4";1;"GoTerms"
"LAS1L";1;"GoTerms"
"LCOR";1;"GoTerms"
"LCORL";1;"GoTerms"
"LEF1";1;"GoTerms"
"LRWD1";1;"GoTerms"
"LSM1";1;"GoTerms"
"LSM10";3;"GoTerms,OMIM,Reaktom"
"LSM11";2;"GoTerms,Reaktom"
